@relation artificial_E1_0_500

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}

@data
-0.823511,-0.467061,0
6.29314,8.26942,1
4.77317,8.2541,1
2.1856,5.06841,0
2.15806,3.28571,0
-0.192774,2.64697,0
7.69504,9.46114,1
2.33118,2.62164,0
2.41071,0.138245,0
5.37189,0.736177,0
7.9456,7.71344,1
2.04353,0.722562,0
7.24526,6.99246,1
2.18493,0.402867,0
3.43248,4.45766,0
1.05412,5.30571,0
8.47501,9.46766,1
0.734101,1.45126,0
-0.151314,4.27881,0
2.39426,2.24666,0
7.95851,9.65648,1
4.37849,8.02914,1
4.13106,0.909497,0
2.36497,0.0397755,0
3.51724,3.64749,0
9.23387,7.22002,1
3.52127,2.1864,0
2.38158,4.77298,0
-0.519635,2.67238,0
-0.215648,4.26843,0
-0.779214,2.52891,0
2.27449,6.65731,0
2.45934,1.54027,0
8.30956,8.63261,1
8.69951,8.08649,1
1.39392,7.35058,0
2.54168,1.9054,0
3.83314,2.25411,0
8.10538,10.0099,1
7.13282,4.14233,0
-0.663768,4.69129,0
1.49942,1.1294,0
8.14193,7.22669,1
5.21684,8.48141,1
0.99683,3.00232,0
7.55551,8.04585,1
6.06055,8.67305,1
6.33013,7.90092,1
6.03515,9.66627,1
8.55766,6.62908,1
1.59417,2.19498,0
5.54836,9.98923,1
4.67649,3.76821,0
7.44575,8.56738,1
3.94455,5.12056,0
4.78533,3.03971,0
1.28045,2.83573,0
2.86094,3.32289,0
7.72389,5.32317,1
6.3674,8.00304,1
7.12809,6.70732,1
3.2445,3.39561,0
7.18031,6.94824,1
6.83738,5.01791,1
-0.255922,2.61458,0
7.35108,6.26727,1
3.82652,5.46788,0
1.56016,3.17622,0
3.62639,3.73496,0
9.05066,10.2098,1
5.03061,9.54689,1
4.03543,1.50161,0
0.457672,3.8188,0
7.92604,10.5321,1
0.194912,2.35074,0
2.90652,4.78045,0
8.66688,8.84593,1
6.53656,9.69194,1
1.81183,6.42747,0
5.83934,6.25837,1
5.90121,8.1342,1
6.18635,4.73168,1
2.84764,2.23519,0
2.24174,2.33864,0
5.36855,6.86728,1
9.19516,10.1783,1
2.0915,0.693357,0
-0.0844986,5.14353,0
6.56961,9.93723,1
2.60459,3.49883,0
7.08165,8.98449,1
1.6069,3.06938,0
6.23083,9.43923,1
5.53943,6.26108,1
7.78284,7.77818,1
-0.40692,4.95483,0
2.35447,1.16409,0
0.786365,2.58714,0
3.14339,3.08562,0
5.7176,8.73904,1
11.3791,6.63589,1
6.47136,8.47824,1
0.778365,4.70431,0
3.56085,1.6897,0
6.43615,9.08465,1
7.0684,7.24838,1
5.69363,3.89863,0
9.35128,4.31627,1
-0.0354302,4.39437,0
7.53838,9.23764,1
2.11467,2.20946,0
6.00071,9.9755,1
9.35818,9.48814,1
3.5315,1.88117,0
5.21269,5.45948,0
1.05353,2.34827,0
2.33208,2.88517,0
4.37205,2.08751,0
2.2096,3.26766,0
0.730446,3.40026,0
7.36669,6.65036,1
8.18443,8.77278,1
6.90948,8.6372,1
2.78998,3.6642,0
0.692298,0.726891,0
8.89116,8.95116,1
6.7148,7.94292,1
5.81259,8.33525,1
8.60802,9.30178,1
4.17182,5.09639,0
2.21906,9.89631,1
7.44665,8.00457,1
2.55017,1.91148,0
5.66465,9.34348,1
7.53935,5.54492,1
3.31154,4.53247,0
1.44302,5.42218,0
6.45475,9.95976,1
9.23107,9.6301,1
7.46807,8.84343,1
0.620193,2.22195,0
2.34784,4.73972,0
4.49269,3.36566,0
0.67921,3.89739,0
7.88429,6.53972,1
7.01875,6.54577,1
3.06916,2.88618,0
2.21544,1.7139,0
2.87673,2.55268,0
6.59288,8.74215,1
8.93973,9.07961,1
0.871221,2.64156,0
0.615004,2.07135,0
8.52878,6.22016,1
2.25853,5.66448,0
0.446268,3.09984,0
6.81828,6.66163,1
-1.09619,2.92772,0
7.34388,5.83909,1
8.71295,5.6263,1
9.70682,6.19458,1
6.57292,8.98487,1
7.33395,6.18472,1
5.90357,8.02982,1
0.443567,4.10828,0
6.17305,8.3698,1
4.76881,3.46689,0
2.50454,2.29095,0
2.81643,3.24782,0
2.55626,3.49167,0
3.15859,2.90636,0
1.35139,3.3477,0
2.46016,4.52499,0
8.15093,6.77533,1
8.44163,8.00819,1
2.59257,1.57006,0
1.36994,3.44249,0
6.29578,5.0111,1
3.66423,6.02211,1
2.77713,1.58871,0
7.57236,6.58832,1
0.773219,2.7759,0
0.933423,3.55735,0
1.50834,1.8369,0
6.61831,6.34907,1
1.75264,2.80662,0
8.83513,7.50264,1
6.46024,8.81012,1
6.07032,7.73507,1
-0.132194,0.895732,0
1.00938,3.7836,0
6.20566,9.33693,1
6.70751,6.64584,1
7.65652,8.13399,1
8.86512,5.60655,1
5.75535,7.21782,1
1.21136,1.54064,0
0.698313,-0.580983,0
0.202492,2.64171,0
2.07592,4.87052,0
0.68539,4.58616,0
4.1146,2.66949,0
5.08419,8.13268,1
6.69069,9.69149,1
7.55831,9.7738,1
3.46134,3.69875,0
7.86224,6.3423,1
6.21829,8.25382,1
8.84459,9.53948,1
9.2013,7.12962,1
7.53094,8.95088,1
3.60091,3.38975,0
6.45189,6.3181,0
-0.477981,1.67764,0
0.715985,3.53512,0
5.66749,8.22228,1
2.29637,3.5,0
6.21536,8.26202,1
5.6605,8.25881,1
2.56973,4.69129,0
4.74324,7.88732,1
5.96356,8.96596,1
4.71007,10.1415,1
5.35806,7.57261,1
1.01474,5.15312,0
0.92357,1.10335,0
3.91498,0.975841,0
6.98921,8.56263,1
2.89309,2.03987,0
6.78895,9.56716,1
9.49581,8.33632,1
