@relation artificial_E2i_0_500

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}
@data
7.00078,7.78506,1
7.53711,7.13444,1
1.47212,5.59334,0
8.22622,7.78784,1
8.30003,8.7989,1
7.59363,7.63004,1
6.34891,8.3904,1
6.26386,5.44606,1
8.20712,6.812,1
0.768102,3.79814,0
2.33267,3.60048,0
2.60877,3.96694,0
5.73464,7.90757,1
6.05248,7.06234,1
7.02701,6.80597,1
6.46547,6.76773,1
0.957378,2.62733,0
5.73841,8.60923,1
1.65507,3.43271,0
2.61908,2.33874,0
4.66985,6.0377,1
1.55597,4.65989,0
2.70965,2.95943,0
1.90892,5.10638,0
2.32364,-1.7094,0
1.64364,0.763991,0
8.33241,10.3079,1
0.947975,1.77773,0
6.90968,8.0054,1
2.79209,3.69485,0
2.54752,3.03604,0
3.50176,4.07972,0
7.39887,6.65913,1
7.12559,6.69988,1
8.5244,7.7144,1
1.22248,2.119,0
6.85507,9.38022,1
7.33267,7.91306,1
6.49422,8.01948,1
1.44113,4.62648,0
0.976235,3.417,0
5.93756,6.50863,1
1.54566,1.81558,0
6.47971,8.8184,1
7.78144,7.41675,1
1.12127,2.45093,0
6.88178,7.76465,1
1.32229,1.41463,0
2.65243,3.63126,0
3.32849,3.21405,0
2.64895,2.01938,0
8.35504,8.1992,1
6.3939,8.84112,1
6.64656,9.0163,1
6.5212,8.44446,1
7.15227,9.64065,1
2.4576,2.35159,0
8.55561,8.30787,1
2.11436,3.15652,0
2.3425,5.06199,0
3.05707,1.211,0
3.22404,1.03433,0
3.66856,3.22107,0
3.28761,4.30754,0
7.53598,10.5351,1
5.85564,6.84624,1
7.03321,7.07077,1
2.1723,2.29598,0
2.26598,4.51587,0
6.82168,8.79634,1
5.79635,8.67131,1
6.25593,7.0668,1
5.61706,6.04019,1
1.59484,3.67943,0
5.23922,8.52492,1
5.76696,8.25678,1
2.82817,2.41984,0
-0.327702,-0.0627965,0
7.68576,7.68311,1
8.09448,7.38171,1
7.51167,8.065,1
7.37488,6.80401,1
1.95623,3.4669,0
7.69535,9.83551,1
7.15257,8.56128,1
8.80746,7.92831,1
5.55339,8.94439,1
7.12892,7.04022,1
7.21746,7.96914,1
7.2967,8.80644,1
1.83609,2.41539,0
3.54772,-0.0677019,0
6.44989,8.86837,1
6.76935,8.87666,1
6.01681,8.49238,1
5.82547,7.30314,1
4.30565,6.69598,1
1.26672,3.74059,0
7.52289,6.39887,1
1.96874,-0.273983,0
7.36043,8.46365,1
-0.0475321,3.91344,0
1.79508,3.94594,0
3.00998,2.53211,0
1.45572,1.9741,0
0.384226,1.97812,0
2.56388,3.70205,0
7.77251,6.55969,1
-0.06448,3.9059,0
8.53923,8.43001,1
6.864,9.63753,1
0.897266,2.74061,0
0.934574,3.49114,0
-0.866143,2.06184,0
6.97303,10.1225,1
1.72829,3.20266,0
1.95343,2.56188,0
5.78706,6.85339,1
2.14459,-0.960395,0
8.05656,7.88243,1
4.75066,9.75982,1
3.95455,3.78997,0
6.20092,7.73251,1
7.22787,8.12692,1
6.44604,10.1656,1
7.85907,9.84428,1
7.39036,7.87867,1
6.1633,6.41092,1
6.53733,9.00465,1
1.01901,1.63671,0
8.71639,8.23814,1
3.69052,1.60814,0
3.30907,1.46412,0
6.47557,6.03818,1
3.19077,3.80865,0
6.69406,8.98199,1
1.51778,3.57071,0
7.10478,9.19529,1
0.616971,3.60152,0
3.58169,1.33117,0
5.465,8.05866,1
