@relation artificial_E2i_0_50

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}

@data
7.61666,9.30034,1
6.74012,8.76374,1
1.03369,3.26967,0
7.76774,7.2284,1
6.87406,6.29416,1
5.70698,8.18574,1
2.54346,3.70929,0
7.46281,7.15904,1
6.1363,6.23885,1
3.40493,4.2536,0
1.71562,2.98171,0
7.28987,7.19278,1
2.01789,5.08373,0
5.57353,9.33752,1
1.49446,2.4853,0
6.61012,10.1906,1
3.2508,3.79196,0
2.21808,2.54469,0
6.23036,7.81112,1
0.413179,1.94604,0
1.99387,2.59746,0
2.23553,2.06462,0
2.59709,2.85381,0
1.9274,3.44816,0
6.38823,9.42123,1
5.72775,8.30467,1
9.85836,4.94912,1
5.82955,8.3164,1
6.27537,7.93759,1
3.50919,5.18834,0
2.36003,2.7012,0
6.19641,7.77774,1
1.27688,4.89648,0
1.70287,4.07506,0
1.72593,3.94924,0
6.59485,9.02537,1
1.58509,3.62121,0
4.46572,9.77459,1
7.1833,10.0134,1
5.03881,7.05175,1
2.10487,2.79617,0
7.41882,6.4189,1
7.42057,10.3325,1
8.30362,9.03685,1
0.221316,2.61848,0
5.06297,5.22495,1
5.4116,8.72879,1
1.89281,4.92724,0
2.70154,1.10248,0
-0.115382,3.97668,0
1.59602,4.07801,0
2.39532,1.54949,0
3.50084,2.76505,0
7.17425,9.27984,1
5.27471,10.3988,1
2.97074,4.33258,0
6.50174,7.75701,1
3.3162,5.18664,0
1.45226,3.1745,0
2.02841,5.37916,0
7.28074,9.96429,1
4.5318,1.71809,0
2.3656,2.52766,0
3.77916,3.52477,0
0.225548,4.65533,0
9.39195,5.49965,1
2.11339,1.29388,0
1.15207,3.62054,0
0.601878,6.47785,0
6.6191,6.25463,1
1.3428,5.34939,0
7.75856,8.43533,1
6.55806,7.76113,1
1.99243,2.42227,0
6.08309,10.1503,1
6.53054,6.6091,1
0.478032,4.08219,0
3.6345,0.836048,0
6.64042,7.19355,1
5.6872,6.45454,1
7.07749,9.0033,1
2.41188,2.78242,0
0.11775,2.82064,0
7.69108,7.48253,1
1.91845,1.0793,0
6.04481,6.40471,1
2.42549,4.02791,0
2.35206,2.57397,0
7.78021,8.84869,1
7.48605,10.4811,1
6.25805,7.84324,1
1.44338,2.32492,0
0.651975,2.76667,0
-0.217119,2.85154,0
6.63041,5.90524,1
5.97418,7.63506,1
7.63186,8.90205,1
6.44537,8.93303,1
5.97947,7.51619,1
2.70675,1.1378,0
5.80459,7.21279,1
6.77644,7.03908,1
1.86017,4.54056,0
2.47349,0.807472,0
2.87607,4.39371,0
6.38522,9.36957,1
7.97601,9.24872,1
6.97081,6.7631,1
2.33294,4.15355,0
6.26281,6.63183,1
1.10202,4.53218,0
7.21781,9.4973,1
6.43216,7.28751,1
8.24784,8.01272,1
1.4893,3.33986,0
1.55544,4.35081,0
0.606593,4.49616,0
1.55074,4.61525,0
6.29089,10.7268,1
0.661498,0.629038,0
5.80699,8.77413,1
0.164141,2.72499,0
8.28225,9.27731,1
6.44429,9.45451,1
1.38059,3.6113,0
2.71895,1.24813,0
6.65344,8.274,1
3.06699,1.91745,0
7.80785,9.21609,1
2.58801,4.93746,0
5.9231,7.01666,1
7.56084,6.78191,1
8.06565,6.10709,1
6.36696,7.25791,1
7.28552,7.89507,1
1.11197,0.889203,0
1.17641,2.00979,0
1.95341,1.77927,0
1.34909,2.91612,0
2.64915,2.21323,0
1.65907,2.33403,0
6.29822,8.7203,1
1.54649,3.97529,0
6.58159,10.2802,1
7.7441,8.93069,1
8.48775,6.85803,1
1.67667,1.89926,0
7.89866,5.588,1
1.12944,1.99727,0
6.05471,9.71075,1
6.8527,7.04314,1
2.19919,3.39001,0
0.532544,3.75058,0
6.29329,8.7389,1
8.60945,5.35841,1
0.976489,2.27243,0
2.96166,3.43637,0
5.55523,8.79998,1
10.0954,6.31947,1
2.47573,3.64369,0
2.30706,1.69956,0
2.29297,2.78178,0
3.85356,4.60984,0
2.95489,4.66254,0
2.91216,2.76444,0
0.47075,1.99708,0
5.1141,5.86238,1
6.02789,9.0423,1
2.67679,3.71747,0
2.0017,3.66779,0
7.77071,6.53322,1
7.98105,7.66326,1
6.97397,7.23072,1
2.79527,2.8271,0
1.44276,2.81063,0
6.48013,7.62577,1
1.57362,2.12898,0
3.39545,2.55193,0
4.72806,7.43392,1
1.58829,3.071,0
-0.465198,2.77577,0
0.364763,4.75984,0
8.39707,8.33473,1
2.04297,2.73738,0
6.18831,10.9655,1
6.39316,7.46217,1
2.28837,4.58242,0
0.478948,4.05596,0
1.22624,1.37008,0
2.01926,4.38067,0
1.50196,3.97822,0
2.66781,3.54124,0
1.82351,2.2164,0
0.596418,6.89835,0
1.90535,0.981151,0
8.40156,8.94087,1
6.13657,7.98343,1
2.16023,3.51991,0
1.69647,3.89774,0
7.32167,7.85975,1
2.86708,1.89122,0
6.70465,8.23331,1
0.749321,1.00571,0
7.74929,7.01141,1
3.24245,2.79397,0
4.97384,9.39111,1
2.17325,3.8207,0
2.44106,4.41736,0
2.34127,1.62153,0
7.31619,7.09031,1
7.23462,8.46795,1
0.494875,2.82273,0
6.93585,7.16439,1
2.35032,3.17118,0
0.0554819,2.29159,0
6.68081,7.72959,1
2.11022,3.49694,0
1.31323,3.64502,0
1.7685,1.64484,0
8.54519,8.43273,1
2.90004,2.32267,0
8.02234,8.83068,1
1.62345,2.43942,0
2.12123,1.64942,0
1.14316,3.41889,0
0.963789,2.33163,0
2.99025,0.802628,0
6.01746,10.3568,1
1.33865,5.12959,0
2.98738,0.849245,0
1.20766,4.32341,0
3.62448,3.94975,0
6.3808,6.10748,1
6.16812,6.86462,1
4.21816,9.57564,1
1.89776,0.868575,0
6.30299,9.05062,1
2.19093,1.56845,0
2.85799,2.15114,0
0.288559,1.46539,0
6.62221,6.47657,1
7.69516,9.55873,1
7.33836,12.6002,1
5.27953,5.30773,1
7.30778,8.55393,1
1.00788,0.476428,0
7.02398,6.52737,1
6.49571,7.74544,1
2.71744,4.5506,0
1.65537,4.23885,0
6.39044,10.8693,1
1.34318,3.9723,0
6.30381,6.96532,1
5.60756,9.10261,1
5.21299,11.2164,1
-0.328955,3.38172,0
1.64931,1.71045,0
0.580652,0.44425,0
3.6141,3.51734,0
1.07004,3.27133,0
0.023757,2.53013,0
7.43782,10.1246,1
6.34199,8.83928,1
1.10392,6.29609,0
7.07814,7.29453,1
2.03622,2.2689,0
8.70019,8.74149,1
8.09097,5.01711,1
6.26648,6.98166,1
1.38726,4.8761,0
6.2363,6.12294,1
7.50142,7.57083,1
1.02576,1.62059,0
1.38962,4.07684,0
1.3064,2.74953,0
3.6519,3.6494,0
1.2147,1.39982,0
2.15584,3.72411,0
8.35631,7.87759,1
3.11016,5.34845,0
6.33391,10.9931,1
7.56268,7.49208,1
6.10856,8.34636,1
6.05045,9.88346,1
2.90258,2.67082,0
2.6124,2.77989,0
7.95241,9.29937,1
6.23652,8.76766,1
1.71332,3.77018,0
1.52113,3.47997,0
7.00566,6.5979,1
2.00633,2.87413,0
2.61569,4.02894,0
2.5353,0.751766,0
1.98597,3.38202,0
3.44703,1.47556,0
6.2524,5.25165,1
6.66374,5.87574,1
4.03126,5.60957,0
5.81454,8.45279,1
7.2401,7.5598,1
1.89855,2.70294,0
2.54096,3.02564,0
3.21782,6.06172,0
1.08818,2.21982,0
8.35871,9.35312,1
7.12133,10.6445,1
1.06175,3.10427,0
2.16304,1.96216,0
1.76605,0.426908,0
2.22906,2.07919,0
2.85354,2.55849,0
2.60004,5.31876,0
1.04909,3.82039,0
7.29438,8.64433,1
5.67863,8.83072,1
6.48323,7.32738,1
5.79698,6.99282,1
