@relation artificial_E1_2_50

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}

@data
3.33099,1.3643,0
6.92122,8.6589,1
5.39287,8.6421,1
1.81002,-0.0617655,0
8.91039,6.95928,1
6.77243,8.83056,1
7.51111,9.09141,1
6.08771,8.31036,1
1.14526,1.48584,0
7.6829,5.99752,1
6.82078,9.12591,1
5.49488,5.94551,1
6.03985,6.66197,1
7.55498,6.76093,1
7.96496,9.68389,1
3.79502,1.5757,0
3.68134,1.11415,0
6.93806,7.48786,1
6.41919,8.62211,1
1.31133,0.556528,0
6.89217,8.13558,1
7.62024,8.06682,1
7.5247,7.22835,1
2.29534,1.31112,0
7.79749,6.45494,1
7.99516,7.74376,1
0.436949,1.4394,0
3.44598,1.59427,0
8.09911,9.25024,1
6.99828,8.97391,1
6.7883,9.59671,1
6.93479,9.42838,1
3.20236,0.420897,0
6.11981,8.82541,1
6.47189,6.37255,1
0.453693,1.061,0
2.2059,1.17325,0
2.78637,1.94319,0
6.60227,5.20851,1
-0.857133,1.85935,0
4.32061,10.2118,1
1.89187,-0.0753674,0
2.8989,1.60678,0
6.70029,9.3272,1
0.801151,-1.1356,0
3.29106,-1.65021,0
0.723274,-0.182631,0
7.93436,9.08305,1
1.21115,-0.0976215,0
3.57573,0.923647,0
3.37679,0.22884,0
3.50923,2.18535,0
4.06474,7.21609,1
8.18557,7.07593,1
-1.12752,0.990097,0
1.93288,1.0207,0
6.86914,8.31106,1
2.00644,0.457059,0
1.4049,1.79555,0
7.62556,6.97565,1
7.18515,9.00475,1
5.51487,9.34227,1
1.40066,4.11911,0
8.5636,8.75734,1
8.03517,8.01904,1
1.81529,2.18869,0
6.92925,8.87177,1
7.03227,9.29797,1
7.68479,9.39601,1
0.444756,0.550651,0
5.98765,7.91021,1
1.25083,0.906074,0
1.51715,-0.360769,0
3.708,-0.418681,0
8.52007,8.18634,1
1.92118,-2.02534,0
2.34194,2.60127,0
0.584539,1.55013,0
2.34592,1.00215,0
1.62934,2.33594,0
8.43514,6.31218,1
7.78662,8.06578,1
3.42982,-0.950525,0
0.659007,-0.993719,0
6.39969,8.4634,1
6.99725,6.43653,1
6.86714,10.2369,1
1.75804,1.16667,0
5.93343,4.95143,1
0.488977,2.13123,0
2.97965,0.667551,0
7.32595,9.43835,1
6.3091,7.0261,1
5.90052,9.38235,1
2.6297,-0.187509,0
1.99299,1.74581,0
6.54238,7.0785,1
6.08197,7.77888,1
3.13175,2.05349,0
2.55293,1.10181,0
7.56364,8.11938,1
7.30762,10.5907,1
8.77207,9.21653,1
2.72567,0.316868,0
7.28377,6.59881,1
1.8186,2.00717,0
8.10316,6.29324,1
2.7341,0.493215,0
0.809608,1.09443,0
1.94989,2.07405,0
1.60907,2.18982,0
6.68117,10.8642,1
8.21202,7.74613,1
1.24797,2.00014,0
6.82692,9.69102,1
7.17613,6.25495,1
4.96894,7.31684,1
1.06759,1.36756,0
1.98291,-0.540519,0
6.08248,9.8416,1
7.32689,7.50317,1
7.75077,8.80783,1
7.01396,7.0306,1
3.02585,2.42323,0
1.3942,-0.974471,0
2.46367,0.955283,0
6.96551,6.32475,1
6.43187,10.007,1
2.07948,1.28463,0
7.72255,9.60226,1
6.84967,9.79824,1
1.65177,2.3608,0
4.47889,2.11289,0
5.71914,10.3669,1
1.71426,1.83779,0
6.73263,8.21694,1
8.48777,5.13926,1
1.27727,-0.624239,0
6.59806,7.41559,1
2.21169,2.38984,0
4.70326,7.79145,1
6.72561,6.39091,1
7.0185,9.10656,1
7.97881,6.278,1
7.38561,8.22996,1
2.12159,1.14535,0
2.63369,-0.609785,0
2.63931,-0.429922,0
1.55866,1.86158,0
6.56778,8.23151,1
1.73297,3.52108,0
7.63164,7.46387,1
7.86191,7.86232,1
6.65859,6.53972,1
1.32642,4.27002,0
1.59479,0.509743,0
2.5245,-0.0631719,0
3.47282,1.66477,0
1.7639,0.960529,0
5.90342,8.34757,1
2.33679,1.27061,0
5.88433,6.32895,1
2.06315,0.161582,0
1.89847,2.88989,0
1.48234,1.88678,0
4.21231,4.02981,0
7.05144,6.8022,1
3.41655,0.236517,0
2.3668,2.38637,0
8.37995,7.81037,1
0.810883,3.29807,0
6.31432,7.74887,1
6.78243,7.70839,1
7.02684,5.60088,1
7.17011,8.80184,1
6.67096,10.5187,1
4.93246,8.07951,1
7.57117,5.95033,1
2.19102,1.65977,0
1.82068,1.04565,0
1.21942,2.92801,0
6.59963,7.50671,1
2.70182,1.38477,0
7.4804,8.6179,1
5.84041,5.06219,1
6.79361,6.7318,1
8.08212,6.63362,1
8.48303,6.11437,1
5.40606,9.40412,1
2.36923,2.19137,0
1.62096,-0.187041,0
0.0084367,1.74632,0
7.24295,7.39283,1
6.84388,6.89335,1
0.933056,3.595,0
2.87846,-0.0809086,0
0.736152,-0.0210683,0
4.89286,6.78293,1
7.71774,8.1801,1
1.57427,1.64212,0
7.16041,6.55626,1
1.83473,-0.0134108,0
2.1377,1.12383,0
2.45109,2.01131,0
7.04997,8.96692,1
5.49959,8.48518,1
1.53296,-0.42939,0
3.38785,-0.36065,0
6.82003,6.99472,1
2.35972,-2.75348,0
0.724381,-1.39054,0
3.08251,3.6983,0
7.50651,8.34476,1
7.66182,12.01,1
1.90728,0.388782,0
6.66314,7.884,1
2.83467,1.5641,0
6.89631,7.3904,1
9.83522,6.38266,1
2.28216,-0.918069,0
7.92936,6.94531,1
8.2948,5.97237,1
6.64929,8.4738,1
2.91373,0.100099,0
6.5814,8.38947,1
6.26117,8.96696,1
1.57549,-0.849049,0
0.610808,2.9582,0
7.36798,6.05997,1
5.54087,9.77681,1
6.66621,10.7042,1
6.55993,9.14189,1
1.68129,4.28744,0
8.83395,6.02537,1
6.23726,7.98572,1
4.16379,-2.04495,0
2.52763,1.92094,0
1.33739,0.440987,0
2.69604,1.93579,0
2.62276,0.830953,0
7.43214,5.96594,1
