@relation artificial_E2i_5_500

@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}

@data
2.98511,5.83488,1
6.31078,9.25513,0
3.01375,7.34914,1
3.6683,1.45644,1
3.91847,3.45574,1
4.72998,3.84963,1
4.35468,2.96796,1
2.61923,6.25314,1
2.02684,2.77655,1
6.31072,8.72879,0
6.19618,8.99758,0
2.71563,4.95886,1
7.11129,5.70844,0
2.16055,3.02894,1
5.97643,5.57705,0
6.59667,6.33928,0
1.52064,3.52495,1
4.86363,6.4404,0
4.74104,6.56041,1
5.55725,7.48278,0
5.05992,7.70295,0
2.8748,2.48357,1
6.50533,4.93905,0
3.33704,4.18673,1
1.7085,4.70409,1
5.70345,8.03191,0
6.79626,7.20785,0
7.51692,5.42081,0
6.11149,6.80323,0
4.56161,2.67215,1
6.86026,6.39261,0
5.33749,7.16936,0
3.21719,3.27241,1
2.26288,1.81433,1
4.87646,7.30474,0
2.59042,5.23864,1
5.58801,5.26601,0
6.73747,8.52623,0
2.8976,3.36235,1
3.95282,5.54075,0
7.32236,7.63561,0
4.4935,7.63458,0
7.11809,5.81115,0
7.34868,7.82225,0
3.32873,5.76837,1
3.9991,3.76079,1
5.11215,8.45525,0
6.99744,7.22581,0
5.02749,9.84413,0
5.77879,8.73725,0
4.24054,6.48063,1
3.32238,2.31035,1
3.94299,4.15924,1
6.17318,6.38857,0
3.70151,4.42314,1
7.20961,5.87221,0
2.16763,8.45558,1
4.72358,4.50662,1
5.88856,4.16415,0
2.80248,4.40713,1
4.28067,4.73028,0
4.442,8.17473,0
4.90703,8.68834,0
5.3356,5.12338,0
4.62208,6.88766,0
4.0469,2.89165,1
2.29159,6.41966,1
2.47764,5.04417,1
5.18497,5.3308,0
-0.14012,3.50433,1
1.69842,2.27159,1
2.56146,3.94569,1
4.11065,3.63301,1
5.74403,5.92836,0
2.52651,4.37665,1
4.30849,6.67909,0
1.67744,2.15104,1
7.08138,7.47653,0
2.49867,3.65657,1
1.96713,3.84322,1
7.13209,7.38896,0
3.04989,4.78418,1
1.90057,1.67965,1
2.07551,4.66133,1
3.25841,3.48379,1
4.84883,7.59949,0
2.96892,1.0468,1
2.85814,5.18753,1
8.86132,6.31051,0
3.33474,4.40594,1
2.40074,5.85788,1
0.716636,6.97047,1
6.2663,8.95952,0
4.22423,4.33458,1
7.09631,6.81717,0
5.36635,7.8519,0
4.11187,3.44493,1
4.93276,5.31496,0
1.56029,4.31151,1
5.18313,7.40113,0
3.70139,5.40199,1
7.10998,7.66752,0
5.3596,5.88284,0
8.21256,8.17642,0
6.98442,7.94968,0
2.29566,3.91841,1
3.3287,3.94735,1
5.93163,5.01404,0
3.25139,8.01893,1
7.23819,6.2001,0
6.01592,6.29749,0
5.18755,4.9828,0
1.18178,5.45925,1
4.44892,4.17737,1
7.5866,8.89664,0
6.78808,7.68077,0
3.57387,7.90597,0
5.55894,4.3164,1
4.02885,6.37706,1
2.43256,3.58458,1
1.67607,4.75197,1
1.90428,3.66509,1
6.00091,8.27907,0
3.64494,5.57803,1
4.83747,6.06431,0
5.60772,7.8275,0
5.56025,4.93237,0
4.45264,6.98781,0
2.41227,5.11368,1
7.81997,6.6105,0
6.63017,6.9136,0
5.62519,6.89043,0
5.08193,7.97863,0
7.73655,7.75633,0
7.25536,8.22963,0
3.18748,4.95455,1
5.45947,6.62305,0
2.24439,4.26289,1
5.8482,8.32433,0
2.42495,3.83757,1
5.42064,8.03458,0
6.56831,8.89709,0
2.06182,5.40077,1
3.19292,2.72275,1
4.8148,2.49474,1
6.98265,9.2713,0
1.79196,3.85172,1
4.22563,4.52209,1
6.29522,6.81279,0
6.44818,4.97287,0
4.36401,5.45251,0
3.72226,5.11339,1
5.06114,7.12403,0
3.033,3.12,1
6.03475,8.48017,0
3.74131,2.86675,1
4.34493,8.12355,0
7.21248,6.42214,0
1.82712,2.16104,1
4.68955,4.2611,1
3.25203,4.09966,1
2.1994,1.46282,1
3.45331,1.93248,1
6.67776,6.02435,0
5.17194,8.90385,0
6.68959,7.40676,0
4.68737,6.9913,0
5.14589,7.92473,0
5.37151,7.87421,0
6.0893,7.66376,0
6.48908,8.10931,0
2.74719,5.07399,1
2.33719,3.9431,1
3.64639,5.17631,1
5.82749,5.86139,0
5.98892,6.12176,0
3.29556,4.61093,1
1.5696,0.236494,1
5.33586,9.28085,0
4.97317,7.48251,0
7.28846,4.66894,0
3.46499,5.07775,1
4.01664,4.84892,1
2.59169,3.2098,1
2.36987,2.90656,1
5.14615,9.99984,0
5.81097,5.58189,0
7.64865,5.66423,0
5.02092,8.4409,0
5.74636,4.33286,0
4.60085,4.4874,1
2.647,4.6297,1
3.05074,3.27646,1
7.28576,6.9149,0
6.42185,6.54857,0
4.10174,4.88625,1
5.89536,7.62712,0
5.83105,7.79559,0
7.2052,4.59044,0
3.67806,4.53352,1
1.58399,2.3285,1
4.99455,6.99969,0
2.8828,3.78297,1
2.82338,6.38128,1
6.46176,8.30176,0
2.88497,4.37984,1
1.40319,6.18938,1
6.44487,10.2573,0
4.24518,8.54235,0
6.21838,7.04518,0
5.99988,9.05377,0
7.34326,5.20865,0
1.07317,7.14046,1
2.27177,5.488,1
5.31219,4.41601,0
2.36231,2.52193,1
6.1396,5.84057,0
6.64512,7.25796,0
5.36559,8.77,0
4.12676,1.6192,1
2.6057,2.27604,1
1.09338,6.92006,1
7.51446,6.93351,0
2.6389,3.29047,1
7.50202,9.37436,0
7.00973,7.99881,0
2.11758,3.5026,1
2.63762,4.11251,1
6.77002,9.07681,0
0.418853,6.35126,1
3.44214,3.37803,1
5.15222,6.61006,0
1.307,1.4253,1
2.99153,7.57953,1
6.48495,5.97686,0
5.27783,8.06543,0
5.49823,7.0329,0
3.37475,3.76832,1
3.11936,5.60071,1
6.43174,7.70476,0
3.12229,3.29417,1
5.14623,7.08592,0
2.34136,5.23942,1
