@relation artificial_E2s_1_500


@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {0,1}

@data
5.63364,4.26206,1
7.07504,5.38177,1
2.36512,9.57662,0
4.86795,3.00508,1
5.59234,3.52853,1
1.93395,7.33307,0
6.57376,4.18794,1
4.40908,5.83537,1
2.3658,11.1096,0
5.02645,2.15147,1
2.16214,8.8372,0
5.44771,2.19864,1
3.08258,8.80449,0
2.06206,7.32389,0
5.444,3.28908,1
4.31214,2.63215,1
2.99013,2.89756,1
3.52232,6.99601,1
1.15019,8.22861,0
6.27239,1.74994,1
0.717479,8.0998,0
1.94634,11.8201,0
3.17283,6.42274,0
6.61108,2.36934,1
1.53666,9.48659,0
3.22369,7.93476,0
3.27465,7.27556,0
-0.663136,8.47879,0
1.75844,8.40308,0
1.4132,9.79267,0
2.68947,9.2792,0
1.01818,9.45696,0
4.53398,2.69587,1
4.77772,5.82042,1
6.12568,0.999703,1
3.60361,9.51112,0
6.12858,7.50825,1
5.13967,5.80969,1
0.327762,10.3615,0
6.85608,3.36721,1
0.840266,7.83236,0
1.12793,8.70705,0
3.46732,8.88184,0
4.77368,5.22447,1
1.78183,10.1471,0
6.14478,3.94457,1
2.46537,9.23443,0
2.47453,9.93911,0
0.818203,10.8991,0
0.726185,10.1162,0
5.76811,5.14318,1
1.35994,7.6599,0
2.13532,12.5264,0
0.409732,10.1518,0
5.05854,5.23245,1
4.68725,2.27944,1
1.85448,10.3012,0
2.55286,11.4105,0
4.46037,2.75158,1
1.38269,10.6413,0
1.82125,8.27193,0
2.42597,8.9982,0
5.93397,5.2109,1
3.8038,3.45565,1
1.31997,9.20509,0
2.41757,9.18689,0
1.13971,7.99728,0
4.41622,3.11582,1
4.09064,2.88773,1
2.42471,10.323,0
4.21715,1.39929,1
3.20535,9.72625,0
5.57077,3.62847,1
3.09998,10.0333,0
2.56232,12.9535,0
5.37271,3.50028,1
3.06343,3.3544,1
5.43945,6.75848,1
2.22076,7.02323,0
3.74308,8.43827,0
2.92583,8.07184,0
6.24908,4.47416,1
3.25406,9.44478,0
