@relation artificial_DCholiday.arff

@attribute temp numeric
@attribute atemp numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute cnt {0,1}

@data
0.2,0.197,0.47,0.2239,0
0.2,0.197,0.44,0.194,0
0.18,0.1667,0.43,0.2537,0
0.18,0.1818,0.43,0.194,0
0.18,0.197,0.43,0.1343,0
0.18,0.197,0.43,0.1642,0
0.18,0.1818,0.43,0.194,0
0.16,0.1818,0.5,0.1343,0
0.16,0.1515,0.47,0.2239,0
0.16,0.1515,0.47,0.2239,0
0.16,0.1515,0.5,0.2537,0
0.16,0.1515,0.55,0.194,0
0.18,0.197,0.47,0.1343,0
0.18,0.197,0.47,0.1343,0
0.18,0.2121,0.43,0.1045,0
0.2,0.2121,0.47,0.1642,0
0.2,0.2121,0.47,0.1642,0
0.2,0.197,0.51,0.194,0
0.18,0.1667,0.55,0.2537,0
0.18,0.1818,0.59,0.194,0
0.16,0.1515,0.8,0.194,0
0.16,0.1515,0.8,0.194,0
0.14,0.1212,0.93,0.2537,0
0.16,0.1364,0.86,0.2836,0
0.34,0.303,0.42,0.3284,0
0.34,0.303,0.42,0.3284,0
0.34,0.303,0.42,0.3284,0
0.34,0.303,0.42,0.2985,0
0.32,0.3182,0.45,0.1642,0
0.34,0.3636,0.36,0,0
0.42,0.4242,0.26,0.2985,0
0.42,0.4242,0.26,0.2836,0
0.32,0.303,0.57,0.2985,0
0.32,0.303,0.57,0.2836,0
0.32,0.303,0.57,0.2537,0
0.32,0.3333,0.57,0.1045,0
0.32,0.3182,0.66,0.194,0
0.3,0.2727,0.81,0.3284,0
0.32,0.303,0.76,0.2537,0
0.3,0.2727,0.7,0.4478,0
0.28,0.2424,0.75,0.4179,0
0.28,0.2576,0.75,0.3881,0
0.24,0.2121,0.87,0.3582,0
0.24,0.2121,0.87,0.3582,0
0.24,0.2121,0.81,0.3881,0
0.22,0.197,0.75,0.4478,0
0.2,0.1667,0.75,0.4179,0
0.2,0.1667,0.75,0.4179,0
0.44,0.4394,0.67,0,0
0.44,0.4394,0.62,0,0
0.4,0.4091,0.76,0,0
0.4,0.4091,0.76,0,0
0.38,0.3939,0.82,0.0896,0
0.36,0.3636,0.81,0.1045,0
0.36,0.3636,0.81,0.0896,0
0.4,0.4091,0.71,0.1642,1
0.44,0.4394,0.62,0.2985,1
0.5,0.4848,0.55,0.194,1
0.5,0.4848,0.55,0.194,0
0.52,0.5,0.55,0.194,0
0.52,0.5,0.55,0.2836,1
0.54,0.5152,0.52,0.2537,1
0.54,0.5152,0.52,0.2537,1
0.54,0.5152,0.52,0.4478,1
0.52,0.5,0.55,0.4925,1
0.5,0.4848,0.63,0.3881,1
0.46,0.4545,0.67,0.3881,1
